player_name,season,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Bt_Avg,Bt_strike_rate,Bw_economy,Bw_wicket_per_match,Bt_Runs,Bt_Balls,Bw_Runs,Bw_Balls,Bt_four,Bt_six,Bt_Wickets,Bw_Wickets,Total_Matches
Rg Sharma,2023,332,258,0,0,20.75,128.68,0.0,0.0,"[1, 21, 65, 20, 28, 44, 2, 3, 0, 0, 7, 29, 37, 56, 11, 8]","[10, 13, 45, 14, 19, 28, 9, 6, 3, 3, 8, 18, 27, 38, 10, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 6, 1, 6, 4, 0, 0, 0, 0, 1, 3, 1, 8, 1, 1]","[0, 1, 4, 2, 0, 3, 0, 0, 0, 0, 0, 2, 3, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16
Rg Sharma,2024,417,293,0,0,32.08,142.32,0.0,0.0,"[43, 26, 0, 49, 38, 105, 36, 6, 8, 4, 11, 4, 19, 68]","[29, 12, 1, 29, 26, 66, 26, 5, 10, 5, 14, 5, 25, 40]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 1, 0, 6, 3, 11, 2, 1, 1, 1, 0, 1, 1, 10]","[1, 3, 0, 3, 3, 5, 3, 0, 0, 0, 1, 0, 1, 3]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14
Rg Sharma,2025,418,292,0,0,29.86,143.15,0.0,0.0,"[0, 8, 13, 17, 18, 26, 76, 70, 12, 53, 7, 5, 24, 81, 8]","[4, 4, 12, 9, 12, 16, 53, 46, 6, 37, 8, 5, 23, 50, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 2, 2, 0, 4, 8, 0, 9, 1, 1, 2, 9, 1]","[0, 0, 1, 1, 1, 3, 6, 3, 2, 0, 0, 0, 1, 4, 0]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",15
I Sharma,2023,1,1,197,157,1.0,100.0,7.53,1.25,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","[17, 18, 31, 21, 27, 21, 27, 35]","[25, 18, 18, 25, 20, 14, 18, 19]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[2, 1, 1, 2, 0, 0, 2, 2]",8
I Sharma,2024,1,8,241,182,1.0,12.5,7.95,1.11,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 5, 0]","[13, 21, 43, 32, 32, 7, 33, 28, 32]","[15, 20, 18, 22, 28, 13, 19, 21, 26]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 2, 0, 1, 2, 0, 1, 3]",9
I Sharma,2025,0,0,198,117,0.0,0.0,10.15,0.57,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[15, 27, 53, 18, 18, 34, 33]","[14, 12, 24, 19, 12, 14, 22]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 1]",7
Hh Pandya,2023,346,254,222,156,31.45,136.22,8.54,0.2,"[8, 5, 8, 28, 66, 13, 26, 59, 39, 25, 4, 8, 8, 28, 21]","[11, 4, 11, 20, 50, 14, 20, 53, 15, 15, 3, 6, 7, 13, 12]","[28, 18, 0, 24, 7, 10, 33, 9, 22, 35, 0, 0, 0, 23, 13]","[18, 18, 0, 24, 6, 12, 19, 7, 12, 20, 0, 0, 0, 13, 7]","[0, 1, 1, 3, 2, 1, 2, 7, 3, 1, 1, 1, 1, 2, 0]","[0, 0, 0, 1, 4, 0, 1, 0, 3, 2, 0, 0, 0, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",15
Hh Pandya,2024,216,154,377,226,18.0,140.26,10.01,0.79,"[11, 24, 34, 39, 21, 2, 10, 10, 46, 0, 1, 0, 2, 16]","[4, 20, 21, 35, 6, 6, 6, 10, 25, 1, 3, 0, 4, 13]","[30, 46, 0, 0, 11, 41, 30, 21, 41, 25, 43, 30, 32, 27]","[18, 24, 0, 0, 8, 20, 27, 12, 12, 25, 25, 25, 18, 12]","[1, 1, 6, 3, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 3, 0, 1, 0, 3, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 2, 3, 0, 0]",14
Hh Pandya,2025,224,148,323,229,22.4,151.35,8.46,0.93,"[11, 0, 28, 42, 2, 21, 0, 0, 5, 48, 1, 3, 26, 22, 15]","[17, 0, 16, 18, 4, 10, 0, 0, 7, 25, 3, 6, 17, 12, 13]","[26, 10, 32, 42, 21, 40, 13, 30, 10, 2, 13, 0, 28, 37, 19]","[27, 12, 28, 27, 12, 26, 12, 19, 6, 6, 11, 0, 13, 18, 12]","[1, 0, 2, 3, 0, 3, 0, 0, 0, 6, 0, 0, 2, 0, 1]","[0, 0, 1, 4, 0, 1, 0, 0, 0, 1, 0, 0, 2, 3, 1]","[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[2, 1, 5, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",15
Jc Buttler,2023,392,298,0,0,28.0,131.54,0.0,0.0,"[54, 19, 79, 52, 0, 40, 0, 27, 18, 8, 95, 0, 0, 0]","[22, 11, 51, 38, 5, 42, 2, 22, 23, 7, 63, 5, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 1, 11, 1, 0, 4, 0, 4, 2, 2, 10, 0, 0, 0]","[3, 1, 1, 3, 0, 1, 0, 0, 1, 0, 4, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14
Jc Buttler,2024,359,266,0,0,39.89,134.96,0.0,0.0,"[11, 11, 13, 100, 8, 107, 35, 34, 0, 19, 21]","[10, 16, 19, 59, 10, 65, 25, 18, 1, 18, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 2, 9, 0, 9, 6, 4, 0, 2, 2]","[0, 0, 0, 4, 0, 6, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11
Jc Buttler,2025,538,337,0,0,59.78,159.64,0.0,0.0,"[54, 39, 73, 0, 36, 16, 97, 41, 50, 64, 30, 33, 5]","[33, 24, 39, 3, 26, 14, 56, 23, 27, 38, 29, 18, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 5, 5, 0, 5, 2, 11, 8, 3, 3, 3, 3, 0]","[2, 1, 6, 0, 0, 0, 4, 0, 4, 4, 1, 2, 0]","[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13
Mr Marsh,2023,128,97,159,132,14.22,131.96,7.23,1.33,"[0, 4, 0, 2, 25, 63, 26, 5, 3]","[1, 4, 4, 9, 15, 39, 17, 4, 4]","[0, 23, 18, 23, 15, 25, 20, 15, 20]","[0, 20, 12, 14, 13, 26, 19, 21, 7]","[0, 1, 0, 0, 5, 1, 3, 1, 0]","[0, 0, 0, 0, 0, 6, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 2, 0, 0, 4, 2, 3, 0]",9
Mr Marsh,2024,61,41,97,54,15.25,148.78,10.78,0.25,"[20, 23, 18, 0]","[14, 12, 13, 2]","[51, 0, 13, 33]","[25, 0, 7, 22]","[2, 5, 2, 0]","[2, 0, 1, 0]","[1, 1, 1, 1]","[0, 0, 0, 1]",4
Mr Marsh,2025,627,401,0,0,48.23,156.36,0.0,0.0,"[72, 52, 0, 60, 81, 30, 4, 45, 34, 0, 65, 117, 67]","[38, 34, 1, 33, 52, 26, 6, 36, 24, 5, 41, 65, 40]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 0, 9, 6, 2, 0, 3, 3, 0, 6, 10, 4]","[6, 2, 0, 2, 5, 2, 0, 1, 2, 0, 4, 8, 5]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13
At Rayudu,2023,158,115,0,0,15.8,137.39,0.0,0.0,"[12, 27, 20, 1, 14, 9, 0, 12, 23, 4, 17, 19]","[12, 14, 17, 2, 6, 9, 2, 11, 18, 7, 9, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 3, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[1, 2, 0, 0, 1, 0, 0, 1, 1, 0, 1, 2]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12
S Gopal,2024,0,0,67,42,0.0,0.0,9.57,1.0,"[0, 0, 0]","[0, 0, 0]","[32, 9, 26]","[24, 6, 12]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]",3
M Ashwin,2023,0,0,52,25,0.0,0.0,12.48,0.0,"[0, 0]","[0, 0]","[10, 42]","[7, 18]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",2
R Ashwin,2023,67,55,352,309,11.17,121.82,6.83,1.15,"[1, 0, 0, 30, 10, 3, 12, 1, 8, 2, 0, 0, 0]","[2, 4, 0, 25, 3, 2, 6, 1, 6, 6, 0, 0, 0]","[25, 24, 22, 23, 37, 22, 34, 35, 26, 8, 32, 32, 32]","[26, 25, 27, 26, 24, 25, 25, 24, 25, 6, 27, 24, 25]","[0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[1, 2, 2, 2, 0, 2, 1, 2, 2, 0, 1, 0, 0]",13
R Ashwin,2024,86,76,439,346,14.33,113.16,7.61,0.64,"[0, 29, 16, 0, 0, 8, 0, 0, 2, 2, 1, 28, 0, 0]","[0, 20, 16, 0, 0, 12, 0, 0, 2, 3, 1, 19, 0, 3]","[30, 29, 26, 27, 40, 40, 30, 33, 35, 24, 34, 31, 17, 43]","[25, 19, 25, 25, 24, 29, 25, 26, 25, 24, 25, 24, 26, 24]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 2, 0, 2, 0]",14
R Ashwin,2025,33,30,280,189,8.25,110.0,8.89,0.78,"[0, 11, 0, 0, 0, 1, 0, 8, 13]","[0, 8, 0, 0, 0, 7, 0, 7, 8]","[31, 21, 45, 21, 47, 30, 25, 19, 41]","[24, 13, 25, 18, 25, 18, 24, 18, 24]","[0, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 2, 0, 0, 0, 2]",9
Am Rahane,2023,326,193,0,0,32.6,168.91,0.0,0.0,"[61, 31, 37, 9, 71, 15, 21, 21, 16, 17, 27]","[27, 20, 20, 10, 31, 13, 17, 20, 11, 10, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 2, 3, 0, 6, 0, 1, 2, 1, 0, 2]","[3, 1, 2, 0, 5, 0, 1, 0, 1, 1, 2]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11
Am Rahane,2024,242,200,0,0,20.17,121.0,0.0,0.0,"[27, 12, 45, 35, 5, 36, 1, 9, 29, 9, 1, 33]","[20, 12, 31, 31, 8, 24, 3, 12, 24, 8, 5, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 5, 2, 1, 5, 0, 1, 5, 1, 0, 3]","[2, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12
Am Rahane,2025,390,275,0,0,35.45,141.82,0.0,0.0,"[56, 18, 11, 38, 61, 20, 17, 50, 26, 30, 48, 15]","[32, 15, 7, 27, 40, 17, 17, 38, 15, 26, 33, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 1, 1, 1, 8, 1, 1, 5, 4, 1, 4, 3]","[4, 1, 1, 4, 2, 1, 1, 1, 1, 2, 2, 0]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12
F Du Plessis,2023,730,483,0,0,56.15,151.14,0.0,0.0,"[73, 23, 79, 22, 62, 84, 62, 17, 44, 45, 65, 55, 71, 28]","[43, 12, 48, 16, 33, 57, 39, 7, 40, 33, 43, 45, 48, 19]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 2, 5, 3, 5, 5, 8, 1, 1, 5, 5, 3, 7, 5]","[6, 2, 5, 1, 4, 5, 2, 2, 1, 1, 3, 2, 2, 0]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14
