player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS
A Badoni,37,802,601,38,23,62,31,2,926,50,976,26.37837837837838,1.0,26.37837837837838,133.4442595673877,2,9.91304347826087,0,28.37837837837838
A Kamboj,11,16,15,277,198,2,0,10,18,250,268,24.363636363636363,1.0,24.363636363636363,106.66666666666667,0,8.393939393939394,0,24.363636363636363
A Manohar,13,184,164,0,0,9,11,0,215,0,215,16.53846153846154,1.0,16.53846153846154,112.19512195121952,0,,0,16.53846153846154
A Mhatre,7,240,131,0,0,31,11,0,293,0,293,41.857142857142854,0.7,29.299999999999997,183.206106870229,6,,0,35.3
A Mishra,8,19,30,168,127,2,0,8,21,200,221,27.625,0.8,22.1,63.33333333333333,-2,7.937007874015747,0,20.1
A Nortje,18,41,38,715,436,6,0,18,47,450,497,27.61111111111111,1.0,27.61111111111111,107.89473684210526,0,9.839449541284402,0,27.61111111111111
A Raghuvanshi,18,463,326,0,0,46,16,0,541,0,541,30.055555555555557,1.0,30.055555555555557,142.0245398773006,2,,0,32.05555555555556
A Zampa,8,10,17,278,183,0,0,10,10,250,260,32.5,0.8,26.0,58.82352941176471,-4,9.114754098360656,0,22.0
Aa Kulkarni,2,9,8,0,0,2,0,0,11,0,11,5.5,0.2,1.1,112.5,0,,0,1.1
Abdul Basith,1,1,1,0,0,0,0,0,1,0,1,1.0,0.1,0.1,100.0,0,,0,0.1
Abdul Samad,32,515,342,6,2,33,36,0,620,0,620,19.375,1.0,19.375,150.58479532163742,4,18.0,-6,17.375
Abhishek Sharma,41,1149,656,283,184,110,76,4,1411,100,1511,36.853658536585364,1.0,36.853658536585364,175.15243902439025,6,9.228260869565217,0,42.853658536585364
Abishek Porel,29,661,454,0,0,65,27,0,780,0,780,26.896551724137932,1.0,26.896551724137932,145.59471365638768,2,,0,28.896551724137932
Ad Russell,39,616,414,659,401,49,48,34,761,850,1611,41.30769230769231,1.0,41.30769230769231,148.79227053140096,2,9.860349127182046,0,43.30769230769231
Aj Hosein,1,16,11,40,24,1,1,1,19,25,44,44.0,0.1,4.4,145.45454545454547,2,10.0,-2,4.4
Aj Turner,2,21,20,0,0,0,2,0,25,0,25,12.5,0.2,2.5,105.0,0,,0,2.5
Ak Markram,37,913,693,184,130,74,34,5,1055,125,1180,31.89189189189189,1.0,31.89189189189189,131.74603174603175,2,8.492307692307692,0,33.89189189189189
Akash Deep,9,25,12,321,183,2,2,5,31,125,156,17.333333333333332,0.9,15.6,208.33333333333334,6,10.524590163934427,-2,19.6
Akash Madhwal,17,8,14,562,376,0,0,24,8,600,608,35.76470588235294,1.0,35.76470588235294,57.14285714285714,-4,8.96808510638298,0,31.764705882352942
Akash Singh,9,0,0,284,184,0,0,9,0,225,225,25.0,0.9,22.5,0.0,-6,9.26086956521739,0,16.5
Am Rahane,35,958,668,0,0,84,43,0,1128,0,1128,32.22857142857143,1.0,32.22857142857143,143.4131736526946,2,,0,34.22857142857143
Aman Hakim Khan,9,110,106,0,0,7,6,0,129,0,129,14.333333333333334,0.9,12.9,103.77358490566037,0,,0,12.9
Aniket Verma,12,236,148,0,0,12,20,0,288,0,288,24.0,1.0,24.0,159.45945945945945,4,,0,28.0
Anmolpreet Singh,6,110,90,0,0,16,2,0,130,0,130,21.666666666666668,0.6,13.0,122.22222222222223,0,,0,13.0
Anuj Rawat,12,189,152,0,0,16,7,0,219,0,219,18.25,1.0,18.25,124.3421052631579,0,,0,18.25
Ar Patel,41,781,570,974,772,63,40,27,924,675,1599,39.0,1.0,39.0,137.01754385964912,2,7.569948186528498,0,41.0
