player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS
B Sai Sudharsan,35,1648,1161,0,0,169,50,0,1917,0,1917,54.77142857142857,1.0,54.77142857142857
V Kohli,44,2037,1436,0,0,193,73,0,2376,0,2376,54.0,1.0,54.0
Shubman Gill,44,1966,1312,0,0,184,72,0,2294,0,2294,52.13636363636363,1.0,52.13636363636363
Mr Marsh,26,816,539,256,186,76,47,13,986,325,1311,50.42307692307692,1.0,50.42307692307692
Sp Narine,40,755,480,1083,905,77,53,40,938,1000,1938,48.45,1.0,48.45
Sa Yadav,43,1667,988,0,0,170,84,0,2005,0,2005,46.627906976744185,1.0,46.627906976744185
Dp Conway,21,828,618,0,0,94,22,0,966,0,966,46.0,1.0,46.0
Ybk Jaiswal,43,1619,1044,0,0,197,70,0,1956,0,1956,45.48837209302326,1.0,45.48837209302326
Sm Curran,32,660,531,1016,627,55,23,27,761,675,1436,44.875,1.0,44.875
Rd Gaikwad,34,1295,918,0,0,118,52,0,1517,0,1517,44.61764705882353,1.0,44.61764705882353
C Green,29,707,472,634,462,62,32,17,833,425,1258,43.37931034482759,1.0,43.37931034482759
Kl Rahul,36,1340,1014,0,0,126,44,0,1554,0,1554,43.166666666666664,1.0,43.166666666666664
H Klaasen,39,1414,849,0,0,93,88,0,1683,0,1683,43.15384615384615,1.0,43.15384615384615
F Du Plessis,38,1370,929,0,0,125,65,0,1625,0,1625,42.76315789473684,1.0,42.76315789473684
Tm Head,27,941,555,32,10,114,47,0,1149,0,1149,42.55555555555556,1.0,42.55555555555556
Jr Hazlewood,15,1,3,453,327,0,0,25,1,625,626,41.733333333333334,1.0,41.733333333333334
M Prasidh Krishna,15,0,0,477,364,0,0,25,0,625,625,41.666666666666664,1.0,41.666666666666664
Ra Jadeja,44,758,558,1105,865,58,27,38,870,950,1820,41.36363636363637,1.0,41.36363636363637
Ad Russell,39,616,414,659,401,49,48,34,761,850,1611,41.30769230769231,1.0,41.30769230769231
Jc Buttler,38,1289,901,0,0,130,50,0,1519,0,1519,39.973684210526315,1.0,39.973684210526315
N Pooran,43,1381,803,0,0,106,102,0,1691,0,1691,39.325581395348834,1.0,39.325581395348834
S Dhawan,16,525,400,0,0,67,16,0,624,0,624,39.0,1.0,39.0
Ar Patel,41,781,570,974,772,63,40,27,924,675,1599,39.0,1.0,39.0
Jj Bumrah,25,12,13,626,617,1,0,38,13,950,963,38.52,1.0,38.52
Wg Jacks,20,463,306,209,145,38,29,8,559,200,759,37.95,1.0,37.95
Pd Salt,34,1056,623,0,0,122,56,0,1290,0,1290,37.94117647058823,1.0,37.94117647058823
Naveen-Ul-Haq,17,18,26,571,407,2,0,25,20,625,645,37.94117647058823,1.0,37.94117647058823
R Parag,35,1048,722,187,147,72,65,3,1250,75,1325,37.857142857142854,1.0,37.857142857142854
Pj Cummins,30,233,157,992,687,15,15,34,278,850,1128,37.6,1.0,37.6
M Pathirana,30,0,0,870,739,0,0,45,0,1125,1125,37.5,1.0,37.5
Priyansh Arya,18,545,310,0,0,60,31,0,667,0,667,37.05555555555556,1.0,37.05555555555556
Hh Pandya,44,786,556,922,611,61,39,28,925,700,1625,36.93181818181818,1.0,36.93181818181818
Abhishek Sharma,41,1149,656,283,184,110,76,4,1411,100,1511,36.853658536585364,1.0,36.853658536585364
Sv Samson,38,1178,812,0,0,100,61,0,1400,0,1400,36.8421052631579,1.0,36.8421052631579
Da Warner,22,684,536,0,0,86,20,0,810,0,810,36.81818181818182,1.0,36.81818181818182
Ss Iyer,31,955,610,0,0,77,53,0,1138,0,1138,36.70967741935484,1.0,36.70967741935484
Akash Madhwal,17,8,14,562,376,0,0,24,8,600,608,35.76470588235294,1.0,35.76470588235294
Kr Mayers,13,379,276,55,46,38,22,0,461,0,461,35.46153846153846,1.0,35.46153846153846
Jm Bairstow,13,383,246,0,0,40,19,0,461,0,461,35.46153846153846,1.0,35.46153846153846
Cv Varun,41,2,12,1185,940,0,0,58,2,1450,1452,35.41463414634146,1.0,35.41463414634146
D Brevis,9,294,189,0,0,16,22,0,354,0,354,39.333333333333336,0.9,35.400000000000006
Tilak Varma,37,1102,776,14,11,84,58,0,1302,0,1302,35.189189189189186,1.0,35.189189189189186
Hv Patel,40,40,52,1285,905,1,2,54,45,1350,1395,34.875,1.0,34.875
Harshit Rana,30,57,55,949,648,5,3,39,68,975,1043,34.766666666666666,1.0,34.766666666666666
Jj Roy,8,285,196,0,0,36,12,0,345,0,345,43.125,0.8,34.5
Pp Chawla,27,40,37,793,586,2,2,35,46,875,921,34.111111111111114,1.0,34.111111111111114
Mp Stoinis,41,956,644,384,247,75,58,10,1147,250,1397,34.073170731707314,1.0,34.073170731707314
Mustafizur Rahman,14,1,2,465,333,0,0,19,1,475,476,34.0,1.0,34.0
P Simran Singh,46,1291,837,0,0,135,69,0,1564,0,1564,34.0,1.0,34.0
