player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score
V Kohli,44,2037,1436,0,0,193,73,0,2376,0,2376,54.0,1.0,54.0,141.85236768802227,2,,0,56.0,54.75123984007262
Shubman Gill,44,1966,1312,0,0,184,72,0,2294,0,2294,52.13636363636363,1.0,52.13636363636363,149.84756097560975,2,,0,54.13636363636363,54.148086395101174
B Sai Sudharsan,35,1648,1161,0,0,169,50,0,1917,0,1917,54.77142857142857,1.0,54.77142857142857,141.94659776055124,2,,0,56.77142857142857,53.43696385799535
Ybk Jaiswal,43,1619,1044,0,0,197,70,0,1956,0,1956,45.48837209302326,1.0,45.48837209302326,155.07662835249045,4,,0,49.48837209302326,50.97035261281295
Sa Yadav,43,1667,988,0,0,170,84,0,2005,0,2005,46.627906976744185,1.0,46.627906976744185,168.7246963562753,4,,0,50.627906976744185,50.35141809250162
Mr Marsh,26,816,539,256,186,76,47,13,986,325,1311,50.42307692307692,1.0,50.42307692307692,151.39146567717995,4,8.258064516129032,0,54.42307692307692,48.245422785609094
Sp Narine,40,755,480,1083,905,77,53,40,938,1000,1938,48.45,1.0,48.45,157.29166666666669,4,7.180110497237568,0,52.45,47.674296411167724
Kl Rahul,36,1340,1014,0,0,126,44,0,1554,0,1554,43.16666666666666,1.0,43.16666666666666,132.14990138067063,2,,0,45.16666666666666,45.309168129123805
F Du Plessis,38,1370,929,0,0,125,65,0,1625,0,1625,42.76315789473684,1.0,42.76315789473684,147.47039827771798,2,,0,44.76315789473684,44.58988938051088
Rd Gaikwad,34,1295,918,0,0,118,52,0,1517,0,1517,44.61764705882353,1.0,44.61764705882353,141.06753812636163,2,,0,46.61764705882353,44.3765919335563
H Klaasen,39,1414,849,0,0,93,88,0,1683,0,1683,43.15384615384615,1.0,43.15384615384615,166.54888103651356,4,,0,47.15384615384615,44.14320072480344
Ra Jadeja,44,758,558,1105,865,58,27,38,870,950,1820,41.36363636363637,1.0,41.36363636363637,135.84229390681003,2,7.664739884393064,0,43.36363636363637,43.3474751706556
