player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score,clean_name_x,clean_name_y,Role,Team_2025
V Kohli,44,2037,1436,0,0,193,73,0,2376,0,2376,54,1,54,141.8523677,2,,0,56,54.75123984,v kohli,v kohli,BAT,RCB
Shubman Gill,44,1966,1312,0,0,184,72,0,2294,0,2294,52.13636364,1,52.13636364,149.847561,2,,0,54.13636364,54.1480864,shubman gill,shubman gill,BAT,GT
B Sai Sudharsan,35,1648,1161,0,0,169,50,0,1917,0,1917,54.77142857,1,54.77142857,141.9465978,2,,0,56.77142857,53.43696386,b sai sudharsan,sai sudharsan,BAT,GT
Ybk Jaiswal,43,1619,1044,0,0,197,70,0,1956,0,1956,45.48837209,1,45.48837209,155.0766284,4,,0,49.48837209,50.97035261,ybk jaiswal,,BAT,RR
Sa Yadav,43,1667,988,0,0,170,84,0,2005,0,2005,46.62790698,1,46.62790698,168.7246964,4,,0,50.62790698,50.35141809,sa yadav,,BAT,MI
Mr Marsh,26,816,539,256,186,76,47,13,986,325,1311,50.42307692,1,50.42307692,151.3914657,4,8.258064516,0,54.42307692,48.24542279,mr marsh,,AR,LSG
Sp Narine,40,755,480,1083,905,77,53,40,938,1000,1938,48.45,1,48.45,157.2916667,4,7.180110497,0,52.45,47.67429641,sp narine,,AR,KKR
Kl Rahul,36,1340,1014,0,0,126,44,0,1554,0,1554,43.16666667,1,43.16666667,132.1499014,2,,0,45.16666667,45.30916813,kl rahul,kl rahul,BAT WK,DC
F Du Plessis,38,1370,929,0,0,125,65,0,1625,0,1625,42.76315789,1,42.76315789,147.4703983,2,,0,44.76315789,44.58988938,f du plessis,faf du plessis,BAT,DC
Rd Gaikwad,34,1295,918,0,0,118,52,0,1517,0,1517,44.61764706,1,44.61764706,141.0675381,2,,0,46.61764706,44.37659193,rd gaikwad,,BAT,CSK
H Klaasen,39,1414,849,0,0,93,88,0,1683,0,1683,43.15384615,1,43.15384615,166.548881,4,,0,47.15384615,44.14320072,h klaasen,,BAT WK,SRH
Ra Jadeja,44,758,558,1105,865,58,27,38,870,950,1820,41.36363636,1,41.36363636,135.8422939,2,7.664739884,0,43.36363636,43.34747517,ra jadeja,,AR,CSK
N Pooran,43,1381,803,0,0,106,102,0,1691,0,1691,39.3255814,1,39.3255814,171.9800747,6,,0,45.3255814,43.22599103,n pooran,,BAT WK,LSG
Ar Patel,41,781,570,974,772,63,40,27,924,675,1599,39,1,39,137.0175439,2,7.569948187,0,41,42.91198346,ar patel,axar patel,AR,DC
Jc Buttler,38,1289,901,0,0,130,50,0,1519,0,1519,39.97368421,1,39.97368421,143.063263,2,,0,41.97368421,42.503068,jc buttler,jos buttler,BAT WK,GT
Sm Curran,32,660,531,1016,627,55,23,27,761,675,1436,44.875,1,44.875,124.2937853,0,9.722488038,0,44.875,42.42896421,sm curran,sam curran,AR,CSK
Abhishek Sharma,41,1149,656,283,184,110,76,4,1411,100,1511,36.85365854,1,36.85365854,175.152439,6,9.22826087,0,42.85365854,42.16818647,abhishek sharma,abhishek sharma,AR,SRH
C Green,29,707,472,634,462,62,32,17,833,425,1258,43.37931034,1,43.37931034,149.7881356,2,8.233766234,0,45.37931034,41.80281618,c green,,AR,-
Pd Salt,34,1056,623,0,0,122,56,0,1290,0,1290,37.94117647,1,37.94117647,169.5024077,4,,0,41.94117647,40.87948961,pd salt,,BAT WK,RCB
Hh Pandya,44,786,556,922,611,61,39,28,925,700,1625,36.93181818,1,36.93181818,141.3669065,2,9.05400982,0,38.93181818,40.74366103,hh pandya,,AR,MI
